station,year,season,summacpreywt,nmacpreysp,nbenthivorespp,nstomtot,meanmacpreywt,meanbenthivorelen.simple,meanbenthivorelen.weighted,depthm,lat,lon,bWT,bSA,bDO,SST
NM20070901109,2007,FALL,2.8963,3,3,13,0.222792308,23.18345015,18.39266732,12.192,36.92016667,-75.89883333,22.33,30.52,7.6,21.95
NM20070901110,2007,FALL,1.131,3,4,17,0.066529412,21.73894694,20.08067271,20.4216,36.91166667,-75.93533333,22.5,29.5,5.82,21.32
NM20070901111,2007,FALL,1.8856,3,3,20,0.09428,22.3646427,21.3693056,6.096,35.97766667,-75.62466667,22.61,31.37,6.75,22.73
NM20070901112,2007,FALL,0.9325,7,4,18,0.051805556,22.02190689,18.62352933,11.8872,36.244,-75.754,22.07,32.01,5.42,23.23
NM20070901113,2007,FALL,0.0364,3,4,12,0.003033333,27.25181783,19.30211857,14.9352,36.06233333,-75.649,21.95,32.03,6.72,22.7
NM20070901114,2007,FALL,0,0,4,15,0,25.30208573,18.41563106,12.192,35.85566667,-75.555,23.02,30.98,6.1,23.79
NM20070901115,2007,FALL,0,0,3,11,0,33.511554,20.01564509,15.24,36.18366667,-75.71566667,21.93,32.09,5.55,23.08
NM20070901116,2007,FALL,0.5882,5,3,9,0.065355556,18.13333333,22.80785449,14.3256,36.35216667,-75.76883333,23.18,30.75,7.9,23.36
NM20070901117,2007,FALL,0,0,1,1,0,20.1,20.1,13.716,36.50383333,-75.80483333,22.44,31.79,7.15,23.2
NM20070901118,2007,FALL,4.5886,2,4,12,0.382383333,28.7010285,18.92471,9.144,35.478,-75.4645,22.81,30.95,7.29,22.87
NM20070901119,2007,FALL,3.0556,11,4,21,0.145504762,23.93610695,19.59379535,6.096,35.922,-75.59333333,22.96,30.87,6.75,23.24
NM20070901120,2007,FALL,0.5567,4,3,9,0.061855556,21.41616911,13.95591276,12.192,35.58,-75.37816667,23.2,31.47,6.69,23.17
NM20070901121,2007,FALL,0.1587,1,2,6,0.02645,19.75,19.75,14.6304,35.28066667,-75.43466667,24.52,35.51,6.84,22.75
NM20070901122,2007,FALL,0.017,3,5,18,0.000944444,24.44675944,15.18945398,18.288,35.77883333,-75.43033333,22.91,31.28,6.68,23.56
NM20070901123,2007,FALL,0.054,3,2,8,0.00675,28.42629275,12.83532582,19.812,35.7965,-75.47383333,22.94,31.22,6.82,23.68
NM20070901124,2007,FALL,5.9305,7,5,24,0.247104167,21.65652558,8.502922651,21.9456,41.315,-71.7185,17.64,31.12,6.18,19.05
NM20070901125,2007,FALL,0.3242,7,5,32,0.01013125,25.19331444,10.2652492,21.336,41.098,-71.9595,18.72,30.54,6.16,19.14
NM20070901126,2007,FALL,4.7742,10,4,40,0.119355,19.72004471,14.13522486,14.6304,41.06733333,-71.976,18.87,30.19,6.71,18.86
NM20070901127,2007,FALL,6.2664,7,5,16,0.39165,22.4719005,14.22869556,24.384,41.20816667,-71.72233333,17.94,31.18,7.14,18.86
NM20070901128,2007,FALL,14.5802,6,5,19,0.767378947,24.48559653,8.874572449,35.052,41.27933333,-71.6925,16.78,31.26,6.08,19.39
NM20070901129,2007,FALL,9.4184,6,3,12,0.784866667,20.8992685,24.56529277,39.0144,41.17166667,-71.81683333,17.77,30.95,6.33,18.09
NM20070901130,2007,FALL,10.7354,10,8,32,0.33548125,32.67733111,24.53291912,36.576,41.23783333,-71.873,17.1,31.22,5.95,17.48
NM20070901131,2007,FALL,7.4677,10,6,31,0.240893548,22.99937031,17.00695274,37.1856,41.194,-71.79516667,17.62,31,6.21,18.34
NM20070901132,2007,FALL,3.902,7,5,24,0.162583333,27.40499675,10.10402986,18.288,41.12766667,-72.03433333,18.78,30.45,7.08,19.06
NM20070901134,2007,FALL,34.1383,13,6,36,0.948286111,29.65521362,11.85940069,29.2608,41.392,-71.01016667,16.49,31.44,4.74,16.78
NM20070901135,2007,FALL,5.1537,7,5,22,0.234259091,24.34664227,9.353204269,21.9456,41.36933333,-71.1045,17.31,31.77,5.13,16.92
NM20070901136,2007,FALL,5.6766,11,5,22,0.258027273,24.24864773,11.23679531,18.288,41.42583333,-71.14783333,17.09,31.62,5.87,17.9
NM20070901137,2007,FALL,18.5327,10,7,29,0.639058621,24.41532952,13.16282317,23.7744,41.32616667,-71.54666667,18.13,31.67,7.45,17.82
NM20070901138,2007,FALL,48.4052,6,6,39,1.241158974,28.40082,17.68842505,19.812,41.386,-71.44766667,,,,
NM20070901139,2007,FALL,32.3704,8,4,25,1.294816,26.5832836,11.32661935,23.7744,41.41466667,-71.36,16.51,31.41,4.39,18.88
NM20070901140,2007,FALL,24.8472,15,5,37,0.671545946,30.53052892,10.02990891,27.432,41.37083333,-70.918,15.45,31.49,4.28,18.42
NM20070901141,2007,FALL,17.6958,11,4,27,0.6554,29.28869578,9.373223436,32.9184,41.30933333,-71.0415,14.52,31.18,4.16,18.23
NM20070901142,2007,FALL,13.7387,10,6,15,0.915913333,44.5859193,47.43653382,45.72,41.161,-71.275,14.06,31.48,5.43,18.79
NM20070901143,2007,FALL,2.2683,4,5,16,0.14176875,25.35582463,31.93699088,27.432,41.354,-71.41083333,14.5,31.11,4.01,18.64
NM20070901144,2007,FALL,34.7747,9,5,32,1.086709375,29.37425056,16.15149781,42.0624,41.29483333,-71.55233333,15.78,31.48,5.39,16.99
NM20070901145,2007,FALL,11.077,6,4,14,0.791214286,37.88568214,44.07876711,27.432,41.37966667,-71.27083333,15.41,31.46,3.19,18.06
NM20070901146,2007,FALL,36.2297,16,5,26,1.39345,36.85335588,39.19264227,43.8912,41.15183333,-71.40733333,13.76,31.43,5.02,17.97
NM20070901147,2007,FALL,15.1583,10,4,20,0.757915,40.16136665,32.07746585,27.432,41.13316667,-71.49033333,15.64,31.62,5.5,18.05
NM20070901148,2007,FALL,16.1234,8,3,7,2.303342857,40.78984171,41.2186418,36.576,41.19966667,-71.51816667,14.47,31.57,6.13,17.17
NM20070901149,2007,FALL,21.037,9,5,20,1.05185,29.38662626,28.01602643,36.576,41.21333333,-71.49766667,14.47,31.57,6.13,17.17
NM20070901150,2007,FALL,23.8822,14,4,18,1.326788889,32.08763911,40.60030309,34.4424,41.2435,-71.48716667,16.63,31.33,5.62,19.43
NM20070901151,2007,FALL,3.2076,8,5,14,0.229114286,27.45419929,16.6288784,14.0208,37.1985,-75.58,21.75,31.99,7.22,22.3
NM20080401001,2008,SPRING,44.249,13,6,20,2.21245,41.10662762,41.02800826,14.3256,41.012,-71.962,9.6,29.59,8.59,10.19
NM20080401002,2008,SPRING,0.8604,4,5,22,0.039109091,34.54861364,49.38789755,14.0208,41.02233333,-71.9075,9.2,29.38,9.63,10.14
NM20080401003,2008,SPRING,7.0618,7,5,14,0.504414286,35.77513114,45.28878796,10.9728,40.9815,-72.05216667,9.66,29.52,8,9.88
NM20080401004,2008,SPRING,6.0114,9,6,38,0.158194737,24.29319147,23.76465657,13.1064,40.835,-72.40383333,9.31,30.02,6.97,11.16
NM20080401005,2008,SPRING,5.9664,13,7,40,0.14916,28.98142499,21.94337354,17.9832,40.90933333,-72.20233333,9.54,29.91,7.5,11.13
NM20080401006,2008,SPRING,5.3973,7,6,32,0.168665625,25.26348281,25.5629364,13.716,40.91133333,-72.229,9.36,30.02,7.24,11.23
NM20080401007,2008,SPRING,6.7271,11,6,32,0.210221875,22.30181938,20.98094489,14.3256,40.8625,-72.35516667,9.1,30.15,7.08,11.35
NM20080401008,2008,SPRING,128.1789,14,6,34,3.769967647,32.73588907,40.70485937,7.9248,40.68483333,-72.97066667,9.98,28.82,4.92,13.53
NM20080401009,2008,SPRING,158.887,14,7,34,4.673147059,28.48527483,42.88787988,6.096,40.661,-73.03666667,10.27,28.65,5.24,13.08
NM20080401010,2008,SPRING,4.723,10,5,36,0.131194444,25.88654922,19.91074256,21.336,40.72966667,-72.73133333,9.7,29.71,5.33,13.5
NM20080401011,2008,SPRING,43.9134,16,6,39,1.125984615,27.33998226,30.12878732,12.192,40.72433333,-72.84416667,9.66,29.68,5.31,12.24
NM20080401012,2008,SPRING,176.4408,10,7,29,6.084165517,34.03271988,40.2388378,13.4112,40.64333333,-73.0175,9.81,28.8,5.43,12.9
NM20080401013,2008,SPRING,16.5488,10,5,27,0.612918519,27.35454089,35.79200726,8.5344,40.61216667,-73.25866667,10.29,28.72,5.71,12.61
NM20080401014,2008,SPRING,9.2967,7,6,21,0.4427,31.54759393,41.88100229,9.7536,40.55616667,-73.63,11.91,29.17,6.93,13.88
NM20080401015,2008,SPRING,112.493,3,6,24,4.687208333,33.73914805,25.63968413,14.9352,40.51933333,-73.51,9.98,29.42,6.23,11.4
NM20080401016,2008,SPRING,1.5486,4,6,19,0.081505263,31.65786216,42.18935109,16.4592,40.50683333,-73.65283333,10.46,29.38,7.17,12.73
NM20080401017,2008,SPRING,7.1213,8,5,29,0.245562069,26.22351986,36.66611492,16.764,40.579,-73.26666667,10.15,28.8,5.62,12.13
NM20080401018,2008,SPRING,20.0212,13,6,33,0.60670303,29.61671031,36.47110454,7.3152,40.56466667,-73.68716667,11.03,29.21,7.13,13.49
NM20080401019,2008,SPRING,22.4765,9,6,29,0.775051724,34.99501776,39.43641737,7.0104,40.40816667,-73.9535,11.05,28.69,7.17,12.95
NM20080401020,2008,SPRING,5.9368,10,4,22,0.269854545,30.61220055,29.18339132,12.192,40.54383333,-73.67966667,10.5,29.41,7.26,12.28
NM20080401021,2008,SPRING,9.9305,9,6,23,0.43176087,31.33093468,40.71114793,12.192,40.52833333,-73.79533333,11.71,29.22,7.3,13.98
NM20080401022,2008,SPRING,7.8625,7,4,17,0.4625,27.80472071,24.26768928,16.764,40.2065,-73.963,10.63,29.65,6.02,12.68
NM20080401023,2008,SPRING,13.788,4,6,18,0.766,32.88982869,10.39389405,11.5824,39.721,-74.08016667,11.26,27.96,8.3,14.13
NM20080401024,2008,SPRING,18.053,6,7,23,0.784913043,40.98720244,11.06482322,8.2296,39.69533333,-74.1225,12.87,26.59,10.03,13.7
NM20080401025,2008,SPRING,25.2699,12,7,28,0.902496429,27.67475888,9.553042986,15.8496,39.82066667,-74.04483333,10.2,29.15,8.15,13.31
NM20080401026,2008,SPRING,21.8299,12,7,39,0.559741026,29.42450535,13.53223471,14.6304,39.66683333,-74.0655,10.91,28.47,9.56,13.17
NM20080401027,2008,SPRING,5.148,5,6,24,0.2145,29.64871438,12.24651133,16.4592,40.005,-74.0305,9.74,29.83,8.85,10.8
NM20080401028,2008,SPRING,20.2781,11,9,28,0.724217857,36.37055031,15.28946161,11.8872,39.62183333,-74.1745,12.67,27.05,9.92,12.86
NM20080401029,2008,SPRING,20.2338,5,7,24,0.843075,34.49364113,16.07610704,7.9248,39.59166667,-74.20133333,11.93,27.73,9.11,12.51
NM20080401030,2008,SPRING,33.3928,11,7,21,1.590133333,36.62183647,11.11154436,9.7536,39.43233333,-74.2675,14.65,27.73,8.97,13.82
NM20080401031,2008,SPRING,25.2451,6,9,29,0.87052069,34.09244251,39.89552517,7.62,39.26533333,-74.54066667,12.43,27.98,8.36,15.01
NM20080401032,2008,SPRING,16.0172,5,4,10,1.60172,39.77922688,49.41696145,16.4592,39.544,-74.084,10.95,29.64,8.23,13.05
NM20080401033,2008,SPRING,12.1373,9,6,16,0.75858125,38.11726643,31.42381283,17.9832,39.5085,-74.14933333,11.05,29.35,8.41,12.5
NM20080401034,2008,SPRING,20.123,9,6,22,0.914681818,31.11586284,10.97881891,14.6304,39.60633333,-74.16466667,12.48,27.05,9.57,13.31
